#group,false,false,true,true,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
#default,mean,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,car,class
,,0,2023-09-30T22:32:47.265422035Z,2023-09-30T23:32:47.265422035Z,2023-09-30T22:38:40Z,0,bus_current,daybreak_motor_controller,Daybreak,motor_bus
,,0,2023-09-30T22:32:47.265422035Z,2023-09-30T23:32:47.265422035Z,2023-09-30T22:38:50Z,0,bus_current,daybreak_motor_controller,Daybreak,motor_bus
,,0,2023-09-30T22:32:47.265422035Z,2023-09-30T23:32:47.265422035Z,2023-09-30T22:39:00Z,0,bus_current,daybreak_motor_controller,Daybreak,motor_bus
,,0,2023-09-30T22:32:47.265422035Z,2023-09-30T23:32:47.265422035Z,2023-09-30T22:39:10Z,0,bus_current,daybreak_motor_controller,Daybreak,motor_bus
,,0,2023-09-30T22:32:47.265422035Z,2023-09-30T23:32:47.265422035Z,2023-09-30T22:39:20Z,0,bus_current,daybreak_motor_controller,Daybreak,motor_bus
,,0,2023-09-30T22:32:47.265422035Z,2023-09-30T23:32:47.265422035Z,2023-09-30T22:39:30Z,0,bus_current,daybreak_motor_controller,Daybreak,motor_bus
,,0,2023-09-30T22:32:47.265422035Z,2023-09-30T23:32:47.265422035Z,2023-09-30T22:39:40Z,0,bus_current,daybreak_motor_controller,Daybreak,motor_bus
,,0,2023-09-30T22:32:47.265422035Z,2023-09-30T23:32:47.265422035Z,2023-09-30T22:39:50Z,5.98471164703369,bus_current,daybreak_motor_controller,Daybreak,motor_bus
,,0,2023-09-30T22:32:47.265422035Z,2023-09-30T23:32:47.265422035Z,2023-09-30T22:40:00Z,4.67897590837981,bus_current,daybreak_motor_controller,Daybreak,motor_bus
,,0,2023-09-30T22:32:47.265422035Z,2023-09-30T23:32:47.265422035Z,2023-09-30T22:40:10Z,30.2932629903158,bus_current,daybreak_motor_controller,Daybreak,motor_bus
,,0,2023-09-30T22:32:47.265422035Z,2023-09-30T23:32:47.265422035Z,2023-09-30T22:40:20Z,4.02760959806896,bus_current,daybreak_motor_controller,Daybreak,motor_bus
,,0,2023-09-30T22:32:47.265422035Z,2023-09-30T23:32:47.265422035Z,2023-09-30T22:40:30Z,0,bus_current,daybreak_motor_controller,Daybreak,motor_bus
,,0,2023-09-30T22:32:47.265422035Z,2023-09-30T23:32:47.265422035Z,2023-09-30T22:40:40Z,0,bus_current,daybreak_motor_controller,Daybreak,motor_bus
,,0,2023-09-30T22:32:47.265422035Z,2023-09-30T23:32:47.265422035Z,2023-09-30T22:40:50Z,0,bus_current,daybreak_motor_controller,Daybreak,motor_bus
,,0,2023-09-30T22:32:47.265422035Z,2023-09-30T23:32:47.265422035Z,2023-09-30T22:41:00Z,0,bus_current,daybreak_motor_controller,Daybreak,motor_bus
,,0,2023-09-30T22:32:47.265422035Z,2023-09-30T23:32:47.265422035Z,2023-09-30T22:41:10Z,0,bus_current,daybreak_motor_controller,Daybreak,motor_bus
,,0,2023-09-30T22:32:47.265422035Z,2023-09-30T23:32:47.265422035Z,2023-09-30T22:41:20Z,0,bus_current,daybreak_motor_controller,Daybreak,motor_bus
,,0,2023-09-30T22:32:47.265422035Z,2023-09-30T23:32:47.265422035Z,2023-09-30T22:41:30Z,0,bus_current,daybreak_motor_controller,Daybreak,motor_bus
