Sequence,# Chromosomes,Parent Selection,# Generations,# Parents,# K,Crossover,Elitism,Mutation Type,Mutation %,Max Mutation,Stopping Crit.,Fitness,Average
2,24,sss,15,12,4,single_point,8,random,50,0.05,saturate_10,2337.497047,
3,24,sss,15,12,4,single_point,8,random,50,0.05,saturate_10,2294.499337,2315.998192
4,24,sss,15,12,4,single_point,8,random,50,0.1,saturate_10,2327.744718,
5,24,sss,15,12,4,single_point,8,random,50,0.1,saturate_10,2323.862082,
6,24,sss,15,12,4,single_point,8,random,50,0.1,saturate_10,2338.121706,2329.909502
7,24,sss,15,12,4,single_point,8,random,50,0.15,saturate_10,2323.82034,
8,24,sss,15,12,4,single_point,8,random,50,0.15,saturate_10,2413.284204,
9,24,sss,15,12,4,single_point,8,random,50,0.15,saturate_10,2299.39153,2345.498691
10,24,sss,15,12,4,single_point,4,random,50,0.05,saturate_10,2358.65231,
11,24,sss,15,12,4,single_point,4,random,50,0.05,saturate_10,2381.81322,
12,24,sss,15,12,4,single_point,4,random,50,0.05,saturate_10,2328.495852,2356.32046
13,24,sss,15,12,4,single_point,4,random,50,0.1,saturate_10,2280.823319,
14,24,sss,15,12,4,single_point,4,random,50,0.1,saturate_10,2280.823319,
15,24,sss,15,12,4,single_point,4,random,50,0.1,saturate_10,2351.375547,2304.340728
16,24,sss,15,12,4,single_point,4,random,50,0.15,saturate_10,2318.941969,
17,24,sss,15,12,4,single_point,4,random,50,0.15,saturate_10,2309.981986,
18,24,sss,15,12,4,single_point,4,random,50,0.15,saturate_10,2336.253092,2321.725682
19,24,sss,15,24,4,single_point,8,random,50,0.05,saturate_10,2336.928995,
20,24,sss,15,24,4,single_point,8,random,50,0.05,saturate_10,2302.318823,
21,24,sss,15,24,4,single_point,8,random,50,0.05,saturate_10,2280.823319,2306.690379
22,24,sss,15,24,4,single_point,8,random,50,0.1,saturate_10,2280.823319,
23,24,sss,15,24,4,single_point,8,random,50,0.1,saturate_10,2320.735391,
24,24,sss,15,24,4,single_point,8,random,50,0.1,saturate_10,2294.22582,2298.594844
25,24,sss,15,24,4,single_point,8,random,50,0.15,saturate_10,2329.998868,
26,24,sss,15,24,4,single_point,8,random,50,0.15,saturate_10,2307.394944,
27,24,sss,15,24,4,single_point,8,random,50,0.15,saturate_10,2280.823319,2306.072377
28,24,sss,15,24,4,single_point,4,random,50,0.05,saturate_10,2353.494856,
29,24,sss,15,24,4,single_point,4,random,50,0.05,saturate_10,2332.786388,
30,24,sss,15,24,4,single_point,4,random,50,0.05,saturate_10,2291.698178,2325.99314
31,24,sss,15,24,4,single_point,4,random,50,0.1,saturate_10,2280.823319,
32,24,sss,15,24,4,single_point,4,random,50,0.1,saturate_10,2280.823319,
33,24,sss,15,24,4,single_point,4,random,50,0.1,saturate_10,2292.77694,2284.807859
34,24,sss,15,24,4,single_point,4,random,50,0.15,saturate_10,2328.997641,
35,24,sss,15,24,4,single_point,4,random,50,0.15,saturate_10,2321.979238,
36,24,sss,15,24,4,single_point,4,random,50,0.15,saturate_10,2346.060137,2332.345672
37,24,sss,30,8,4,single_point,8,random,50,0.05,saturate_10,2295.574508,
38,24,sss,30,8,4,single_point,8,random,50,0.05,saturate_10,2392.1836,
39,24,sss,30,8,4,single_point,8,random,50,0.05,saturate_10,2282.567159,2323.441756
40,24,sss,30,8,4,single_point,8,random,50,0.1,saturate_10,2294.214089,
41,24,sss,30,8,4,single_point,8,random,50,0.1,saturate_10,2358.397399,
42,24,sss,30,8,4,single_point,8,random,50,0.1,saturate_10,2401.014584,2351.208691
43,24,sss,30,8,4,single_point,8,random,50,0.15,saturate_10,2456.675624,
44,24,sss,30,8,4,single_point,8,random,50,0.15,saturate_10,2280.823319,
45,24,sss,30,8,4,single_point,8,random,50,0.15,saturate_10,2320.822119,2352.773687
46,24,sss,30,8,4,single_point,4,random,50,0.05,saturate_10,2280.823319,
47,24,sss,30,8,4,single_point,4,random,50,0.05,saturate_10,2363.689697,
48,24,sss,30,8,4,single_point,4,random,50,0.05,saturate_10,2339.479054,2327.997357
49,24,sss,30,8,4,single_point,4,random,50,0.1,saturate_10,2324.500268,
50,24,sss,30,8,4,single_point,4,random,50,0.1,saturate_10,2419.646264,
51,24,sss,30,8,4,single_point,4,random,50,0.1,saturate_10,2332.565322,2358.903951
52,24,sss,30,8,4,single_point,4,random,50,0.15,saturate_10,2301.980754,
53,24,sss,30,8,4,single_point,4,random,50,0.15,saturate_10,2382.178451,
54,24,sss,30,8,4,single_point,4,random,50,0.15,saturate_10,2280.823319,2321.660842
