Sequence,# Chromosomes,Parent Selection,# Generations,# Parents,# K,Crossover,Elitism,Mutation Type,Mutation %,Max Mutation,Stopping Crit.,Fitness,Average
45,24,tournament,30,12,5,single_point,8,random,25,0.05,saturate_15,1.181221789,
46,24,tournament,30,12,5,single_point,8,random,25,0.05,saturate_15,1.189412399,
47,24,tournament,30,12,5,single_point,8,random,25,0.05,saturate_15,1.177802733,1.182812307
48,48,tournament,30,12,5,single_point,8,random,25,0.05,saturate_15,1.191660302,
49,48,tournament,30,12,5,single_point,8,random,25,0.05,saturate_15,1.191180235,
50,48,tournament,30,12,5,single_point,8,random,25,0.05,saturate_15,1.211146105,1.197995547
51,48,tournament,30,12,10,single_point,8,random,25,0.05,saturate_15,1.195200624,
52,48,tournament,30,12,10,single_point,8,random,25,0.05,saturate_15,1.166650013,
53,48,tournament,30,12,10,single_point,8,random,25,0.05,saturate_15,1.201738686,1.187863108
54,24,tournament,60,12,10,single_point,8,random,25,0.05,saturate_30,1.203134766,
55,24,tournament,60,12,10,single_point,8,random,25,0.05,saturate_30,1.212063379,
56,24,tournament,60,12,10,single_point,8,random,25,0.05,saturate_30,1.185300956,1.200166367
57,48,tournament,30,12,5,single_point,8,random,25,0.05,saturate_15,1.194340349,
58,48,tournament,30,12,5,single_point,8,random,25,0.05,saturate_15,1.191786652,
59,48,tournament,30,12,5,single_point,8,random,25,0.05,saturate_15,1.182178,1.189435
60,48,tournament,30,12,5,single_point,4,random,25,0.05,saturate_15,1.168951394,
61,48,tournament,30,12,5,single_point,4,random,25,0.05,saturate_15,1.200191256,
62,48,tournament,30,12,5,single_point,4,random,25,0.05,saturate_15,1.202423933,1.190522194
63,48,tournament,30,12,5,single_point,16,random,25,0.05,saturate_15,1.184368675,
64,48,tournament,30,12,5,single_point,16,random,25,0.05,saturate_15,1.207378736,
65,48,tournament,30,12,5,single_point,16,random,25,0.05,saturate_15,1.197985989,1.1965778
66,24,tournament,60,12,10,single_point,8,random,25,0.05,saturate_30,1.198518109,
67,24,tournament,60,12,10,single_point,8,random,25,0.05,saturate_30,1.209414423,
68,24,tournament,60,12,10,single_point,8,random,25,0.05,saturate_30,1.182404527,1.19677902
69,24,tournament,60,12,10,single_point,16,random,25,0.05,saturate_30,1.165850065,
70,24,tournament,60,12,10,single_point,16,random,25,0.05,saturate_30,1.17812934,
71,24,tournament,60,12,10,single_point,16,random,25,0.05,saturate_30,1.179109434,1.174362946
72,24,tournament,60,12,10,single_point,4,random,25,0.05,saturate_30,1.190068871,
73,24,tournament,60,12,10,single_point,4,random,25,0.05,saturate_30,1.199177088,
74,24,tournament,60,12,10,single_point,4,random,25,0.05,saturate_30,1.208549046,1.199265002
75,48,tournament,30,12,5,single_point,8,random,25,0.05,saturate_15,1.184444252,
76,48,tournament,30,12,5,single_point,8,random,25,0.05,saturate_15,1.195757438,
77,48,tournament,30,12,5,single_point,8,random,25,0.05,saturate_15,1.181599195,1.187266961
78,48,tournament,30,24,5,single_point,8,random,25,0.05,saturate_15,1.193707991,
79,48,tournament,30,24,5,single_point,8,random,25,0.05,saturate_15,1.195074093,
80,48,tournament,30,12,5,single_point,8,random,25,0.05,saturate_15,1.20564975,1.198143945
81,48,tournament,30,12,5,single_point,8,random,25,0.05,saturate_15,1.211553739,
82,48,tournament,30,12,5,single_point,8,random,25,0.05,saturate_15,1.168100619,
83,48,tournament,30,24,5,single_point,8,random,25,0.05,saturate_15,1.191685572,1.190446643
84,48,tournament,30,24,5,single_point,8,random,25,0.05,saturate_15,1.201992459,
85,48,tournament,30,24,5,single_point,8,random,25,0.05,saturate_15,1.193606829,
86,48,tournament,30,12,5,single_point,16,random,25,0.05,saturate_15,1.193151655,1.196250314
87,48,tournament,30,12,5,single_point,16,random,25,0.05,saturate_15,1.196668867,
88,48,tournament,30,12,5,single_point,16,random,25,0.05,saturate_15,1.197884646,
89,48,tournament,30,24,5,single_point,16,random,25,0.05,saturate_15,1.177677127,1.190743547
90,48,tournament,30,24,5,single_point,16,random,25,0.05,saturate_15,1.19894896,
91,48,tournament,30,24,5,single_point,16,random,25,0.05,saturate_15,1.185426968,
92,24,tournament,60,12,10,single_point,4,random,25,0.05,saturate_30,1.210764009,1.198379979
93,24,tournament,60,12,10,single_point,4,random,25,0.05,saturate_30,1.196035893,
94,24,tournament,60,12,10,single_point,4,random,25,0.05,saturate_30,1.208676288,
95,24,tournament,60,8,10,single_point,4,random,25,0.05,saturate_30,1.198999653,1.201237278
96,24,tournament,60,8,10,single_point,4,random,25,0.05,saturate_30,1.205624333,
97,24,tournament,60,8,10,single_point,4,random,25,0.05,saturate_30,1.206336111,
98,24,tournament,60,16,10,single_point,4,random,25,0.05,saturate_30,1.193505672,1.201822039
99,24,tournament,60,16,10,single_point,4,random,25,0.05,saturate_30,1.215123468,
100,24,tournament,60,16,10,single_point,4,random,25,0.05,saturate_30,1.201129742,
